conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total,model,ablation_type,param_value
T3/test/15,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
T3/test/16,T3,0,20.086292266845703,13.241414070129395,20.008865356445312,21.145410537719727,20.060441970825195,42.76328560028657,llama-7b,layer_count,3
T3/test/17,T3,0,18.89612579345703,11.867728233337402,18.824480056762695,19.980825424194336,18.869848251342773,40.09454015811625,llama-7b,layer_count,3
T3/test/18,T3,0,19.69913673400879,12.857074737548828,19.631473541259766,20.77962875366211,19.671674728393555,41.92282039692716,llama-7b,layer_count,3
T3/test/19,T3,0,20.060123443603516,13.244091987609863,19.989225387573242,21.125789642333984,20.02547264099121,42.716533090260484,llama-7b,layer_count,3
T3/test/2,T3,0,19.69913673400879,12.857074737548828,19.631473541259766,20.77962875366211,19.671674728393555,41.92282039692716,llama-7b,layer_count,3
T3/test/20,T3,0,20.086292266845703,13.241414070129395,20.008865356445312,21.145410537719727,20.060441970825195,42.76328560028657,llama-7b,layer_count,3
T3/test/21,T3,0,18.497573852539062,11.422682762145996,18.450899124145508,19.59619903564453,18.492380142211914,39.230762653469114,llama-7b,layer_count,3
T3/test/22,T3,0,18.89612579345703,11.867727279663086,18.824480056762695,19.980825424194336,18.869848251342773,40.09453987583475,llama-7b,layer_count,3
T3/test/23,T3,0,19.69913673400879,12.857074737548828,19.631473541259766,20.77962875366211,19.671674728393555,41.92282039692716,llama-7b,layer_count,3
T3/test/24,T3,0,19.69913673400879,12.857074737548828,19.631473541259766,20.77962875366211,19.671674728393555,41.92282039692716,llama-7b,layer_count,3
T3/test/25,T3,0,20.060123443603516,13.244091033935547,19.989225387573242,21.125789642333984,20.02547264099121,42.71653279457755,llama-7b,layer_count,3
T3/test/26,T3,0,20.086292266845703,13.241414070129395,20.008865356445312,21.145410537719727,20.060441970825195,42.76328560028657,llama-7b,layer_count,3
T3/test/27,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
T3/test/28,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
T3/test/29,T3,0,18.497573852539062,11.422682762145996,18.450899124145508,19.59619903564453,18.492380142211914,39.230762653469114,llama-7b,layer_count,3
T3/test/3,T3,0,20.060123443603516,13.244091987609863,19.989225387573242,21.125789642333984,20.02547264099121,42.716533090260484,llama-7b,layer_count,3
T3/test/4,T3,0,20.086292266845703,13.241414070129395,20.008865356445312,21.145410537719727,20.060441970825195,42.76328560028657,llama-7b,layer_count,3
T3/test/5,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
T3/test/6,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
T3/test/7,T3,0,19.69913673400879,12.857074737548828,19.631473541259766,20.77962875366211,19.671672821044922,41.92281950193154,llama-7b,layer_count,3
T3/test/8,T3,0,18.497573852539062,11.422682762145996,18.450899124145508,19.59619903564453,18.492380142211914,39.230762653469114,llama-7b,layer_count,3
T3/test/9,T3,0,18.89612579345703,11.867728233337402,18.824480056762695,19.980825424194336,18.869848251342773,40.09454015811625,llama-7b,layer_count,3
T4/test/0,T4,0,19.87975311279297,13.014971733093262,19.814125061035156,20.94736099243164,19.852876663208008,42.30983655516712,llama-7b,layer_count,3
T4/test/1,T4,0,19.787330627441406,12.935845375061035,19.717111587524414,20.851545333862305,19.7635498046875,42.10729012860524,llama-7b,layer_count,3
T4/test/10,T4,0,19.538606643676758,12.612059593200684,19.490034103393555,20.614665985107422,19.52985382080078,41.55793871271301,llama-7b,layer_count,3
T4/test/11,T4,0,18.47713279724121,11.370706558227539,18.404531478881836,19.575532913208008,18.449331283569336,39.1535885538521,llama-7b,layer_count,3
T4/test/12,T4,0,19.87975311279297,13.014971733093262,19.814125061035156,20.94736099243164,19.852876663208008,42.30983655516712,llama-7b,layer_count,3
T4/test/13,T4,0,19.921567916870117,13.05739974975586,19.85763931274414,20.9866886138916,19.90547752380371,42.407069339834564,llama-7b,layer_count,3
T4/test/14,T4,0,19.87975311279297,13.014971733093262,19.814125061035156,20.947362899780273,19.852876663208008,42.30983749948468,llama-7b,layer_count,3
T4/test/15,T4,0,19.87975311279297,13.014971733093262,19.814125061035156,20.947362899780273,19.852876663208008,42.30983749948468,llama-7b,layer_count,3
T4/test/16,T4,0,19.538606643676758,12.612059593200684,19.490034103393555,20.614665985107422,19.52985382080078,41.55793871271301,llama-7b,layer_count,3
T4/test/17,T4,0,18.47713279724121,11.370706558227539,18.404531478881836,19.575531005859375,18.449331283569336,39.15358760023926,llama-7b,layer_count,3
