conversation_id,scenario,layer,cka,baseline
T0/test/11,T0,7,0.3763228,cka
T0/test/11,T0,8,0.35776204,cka
T0/test/11,T0,9,0.29629213,cka
T0/test/11,T0,10,0.20588134,cka
T0/test/11,T0,11,0.21251427,cka
T0/test/11,T0,12,0.19952933,cka
T0/test/11,T0,13,0.21075034,cka
T0/test/11,T0,14,0.16778487,cka
T0/test/11,T0,15,0.18749918,cka
T0/test/11,T0,16,0.15794255,cka
T0/test/11,T0,17,0.12287204,cka
T0/test/11,T0,18,0.10879431,cka
T0/test/11,T0,19,0.10566022,cka
T0/test/11,T0,20,0.0981242,cka
T0/test/11,T0,21,0.098613985,cka
T0/test/11,T0,22,0.09982608,cka
T0/test/11,T0,23,0.09745445,cka
T0/test/11,T0,24,0.09087494,cka
T0/test/11,T0,25,0.088283315,cka
T0/test/11,T0,26,0.09454199,cka
T0/test/11,T0,27,0.09210315,cka
T0/test/11,T0,28,0.09146889,cka
T0/test/11,T0,29,0.09210043,cka
T0/test/11,T0,30,0.10429506,cka
T0/test/11,T0,31,0.12017972,cka
T0/test/12,T0,0,0.83672035,cka
T0/test/12,T0,1,0.8825973,cka
T0/test/12,T0,2,0.8085283,cka
T0/test/12,T0,3,0.7206535,cka
T0/test/12,T0,4,0.60836697,cka
T0/test/12,T0,5,0.45515507,cka
T0/test/12,T0,6,0.4137431,cka
T0/test/12,T0,7,0.43057495,cka
T0/test/12,T0,8,0.34542668,cka
T0/test/12,T0,9,0.27235323,cka
T0/test/12,T0,10,0.2484009,cka
T0/test/12,T0,11,0.26340237,cka
T0/test/12,T0,12,0.26528645,cka
T0/test/12,T0,13,0.26342764,cka
T0/test/12,T0,14,0.23247595,cka
T0/test/12,T0,15,0.23691344,cka
T0/test/12,T0,16,0.20514686,cka
T0/test/12,T0,17,0.190217,cka
T0/test/12,T0,18,0.17634076,cka
T0/test/12,T0,19,0.17166857,cka
T0/test/12,T0,20,0.17202915,cka
T0/test/12,T0,21,0.17697665,cka
T0/test/12,T0,22,0.16187839,cka
T0/test/12,T0,23,0.15778108,cka
T0/test/12,T0,24,0.16896361,cka
T0/test/12,T0,25,0.19189042,cka
T0/test/12,T0,26,0.1847754,cka
T0/test/12,T0,27,0.1857932,cka
T0/test/12,T0,28,0.18360174,cka
T0/test/12,T0,29,0.17575859,cka
T0/test/12,T0,30,0.16971798,cka
T0/test/12,T0,31,0.10644735,cka
T0/test/13,T0,0,0.64962554,cka
T0/test/13,T0,1,0.7491501,cka
T0/test/13,T0,2,0.6005655,cka
T0/test/13,T0,3,0.565475,cka
T0/test/13,T0,4,0.39584246,cka
T0/test/13,T0,5,0.31797156,cka
T0/test/13,T0,6,0.323752,cka
T0/test/13,T0,7,0.3210035,cka
T0/test/13,T0,8,0.29481095,cka
T0/test/13,T0,9,0.2668385,cka
T0/test/13,T0,10,0.27224493,cka
T0/test/13,T0,11,0.27721554,cka
T0/test/13,T0,12,0.29776475,cka
T0/test/13,T0,13,0.2617769,cka
T0/test/13,T0,14,0.22264695,cka
T0/test/13,T0,15,0.2039018,cka
T0/test/13,T0,16,0.19478805,cka
T0/test/13,T0,17,0.20817079,cka
T0/test/13,T0,18,0.1890564,cka
T0/test/13,T0,19,0.16040157,cka
T0/test/13,T0,20,0.15639366,cka
T0/test/13,T0,21,0.16407672,cka
T0/test/13,T0,22,0.14480188,cka
T0/test/13,T0,23,0.124930814,cka
T0/test/13,T0,24,0.12910834,cka
T0/test/13,T0,25,0.13868113,cka
T0/test/13,T0,26,0.13719857,cka
T0/test/13,T0,27,0.130869,cka
T0/test/13,T0,28,0.13716061,cka
T0/test/13,T0,29,0.13447154,cka
T0/test/13,T0,30,0.14412649,cka
T0/test/13,T0,31,0.1765593,cka
T0/test/14,T0,0,0.83672035,cka
T0/test/14,T0,1,0.8825973,cka
T0/test/14,T0,2,0.8085283,cka
T0/test/14,T0,3,0.7206535,cka
T0/test/14,T0,4,0.60836697,cka
T0/test/14,T0,5,0.45515507,cka
T0/test/14,T0,6,0.4137431,cka
T0/test/14,T0,7,0.43057495,cka
T0/test/14,T0,8,0.34542668,cka
T0/test/14,T0,9,0.27235323,cka
T0/test/14,T0,10,0.2484009,cka
T0/test/14,T0,11,0.26340237,cka
T0/test/14,T0,12,0.26528645,cka
T0/test/14,T0,13,0.26342764,cka
T0/test/14,T0,14,0.23247595,cka
T0/test/14,T0,15,0.23691344,cka
T0/test/14,T0,16,0.20514686,cka
T0/test/14,T0,17,0.190217,cka
T0/test/14,T0,18,0.17634076,cka
T0/test/14,T0,19,0.17166857,cka
T0/test/14,T0,20,0.17202915,cka
T0/test/14,T0,21,0.17697665,cka
T0/test/14,T0,22,0.16187839,cka
T0/test/14,T0,23,0.15778108,cka
T0/test/14,T0,24,0.16896361,cka
T0/test/14,T0,25,0.19189042,cka
T0/test/14,T0,26,0.1847754,cka
T0/test/14,T0,27,0.1857932,cka
T0/test/14,T0,28,0.18360174,cka
T0/test/14,T0,29,0.17575859,cka
T0/test/14,T0,30,0.16971798,cka
T0/test/14,T0,31,0.10644735,cka
T0/test/15,T0,0,0.83672035,cka
T0/test/15,T0,1,0.8825973,cka
T0/test/15,T0,2,0.8085283,cka
T0/test/15,T0,3,0.7206535,cka
T0/test/15,T0,4,0.60836697,cka
T0/test/15,T0,5,0.45515507,cka
T0/test/15,T0,6,0.4137431,cka
T0/test/15,T0,7,0.43057495,cka
T0/test/15,T0,8,0.34542668,cka
T0/test/15,T0,9,0.27235323,cka
T0/test/15,T0,10,0.2484009,cka
T0/test/15,T0,11,0.26340237,cka
T0/test/15,T0,12,0.26528645,cka
T0/test/15,T0,13,0.26342764,cka
T0/test/15,T0,14,0.23247595,cka
T0/test/15,T0,15,0.23691344,cka
T0/test/15,T0,16,0.20514686,cka
T0/test/15,T0,17,0.190217,cka
T0/test/15,T0,18,0.17634076,cka
T0/test/15,T0,19,0.17166857,cka
T0/test/15,T0,20,0.17202915,cka
T0/test/15,T0,21,0.17697665,cka
T0/test/15,T0,22,0.16187839,cka
T0/test/15,T0,23,0.15778108,cka
T0/test/15,T0,24,0.16896361,cka
T0/test/15,T0,25,0.19189042,cka
T0/test/15,T0,26,0.1847754,cka
T0/test/15,T0,27,0.1857932,cka
T0/test/15,T0,28,0.18360174,cka
T0/test/15,T0,29,0.17575859,cka
T0/test/15,T0,30,0.16971798,cka
T0/test/15,T0,31,0.10644735,cka
T0/test/16,T0,0,0.7229484,cka
T0/test/16,T0,1,0.7734104,cka
T0/test/16,T0,2,0.6952785,cka
T0/test/16,T0,3,0.62141436,cka
T0/test/16,T0,4,0.49864396,cka
T0/test/16,T0,5,0.40633538,cka
T0/test/16,T0,6,0.30049276,cka
T0/test/16,T0,7,0.3644794,cka
T0/test/16,T0,8,0.34813946,cka
T0/test/16,T0,9,0.27982005,cka
T0/test/16,T0,10,0.26826257,cka
