permutation,layer,mean_attention
238,min,0.018216942
238,nar,0.01820449
238,soc,0.018774573
238,mor,0.018740028
238,pos,0.018301358
239,min,0.018439064
239,nar,0.01809583
239,soc,0.018481148
239,mor,0.018496662
239,pos,0.018697364
240,min,0.018456578
240,nar,0.018623233
240,soc,0.018450717
240,mor,0.018738896
240,pos,0.018207414
241,min,0.018602984
241,nar,0.01858767
241,soc,0.018692557
241,mor,0.018301114
241,pos,0.01833473
242,min,0.018696716
242,nar,0.018625816
242,soc,0.018378386
242,mor,0.018337846
242,pos,0.018496841
243,min,0.018497586
243,nar,0.018459598
243,soc,0.018454978
243,mor,0.01849312
243,pos,0.01851316
244,min,0.01857044
244,nar,0.018552423
244,soc,0.018321207
244,mor,0.018471014
244,pos,0.018559558
245,min,0.018491847
245,nar,0.018487403
245,soc,0.018620176
245,mor,0.018331118
245,pos,0.018526928
246,min,0.018237064
246,nar,0.018512568
246,soc,0.018714339
246,mor,0.018407404
246,pos,0.018589582
247,min,0.018340426
247,nar,0.018617034
247,soc,0.018357018
247,mor,0.01858829
247,pos,0.018592043
248,min,0.018659012
248,nar,0.018579682
248,soc,0.018453393
248,mor,0.018576052
248,pos,0.018207073
249,min,0.01855109
249,nar,0.018488685
249,soc,0.018349545
249,mor,0.018634714
249,pos,0.0183908
250,min,0.01845978
250,nar,0.018311977
250,soc,0.018255174
250,mor,0.018514086
250,pos,0.018790076
251,min,0.018425984
251,nar,0.018757531
251,soc,0.018260062
251,mor,0.018523782
251,pos,0.018616948
252,min,0.018288245
252,nar,0.018822432
252,soc,0.018501775
252,mor,0.018412448
252,pos,0.018612398
253,min,0.018451001
253,nar,0.018633127
253,soc,0.018447777
253,mor,0.018423647
253,pos,0.018571973
254,min,0.018720422
254,nar,0.018310944
254,soc,0.01845018
254,mor,0.018372148
254,pos,0.018497083
255,min,0.018551903
255,nar,0.018343171
255,soc,0.018414166
255,mor,0.018618014
255,pos,0.018406818
256,min,0.018533995
256,nar,0.018623909
256,soc,0.018309696
256,mor,0.01856476
256,pos,0.018469738
257,min,0.01868282
257,nar,0.018843055
257,soc,0.018416137
257,mor,0.018302463
257,pos,0.018420322
