conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total
T0/test/4,T0,13,22.99867057800293,14.139113426208496,22.98933982849121,24.434772491455078,22.951801300048828,48.797606623794906
T0/test/5,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
T0/test/6,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
T0/test/7,T0,13,22.673858642578125,13.838973999023438,22.682659149169922,24.15766143798828,22.689701080322266,48.15121218031304
T0/test/8,T0,13,23.173633575439453,14.455875396728516,23.20511817932129,24.697416305541992,23.23262596130371,49.337454509914046
T0/test/9,T0,13,22.66526222229004,13.788640022277832,22.672149658203125,24.138328552246094,22.648330688476562,48.098574445235464
T1/test/0,T1,13,17.61532211303711,7.936208248138428,17.825885772705078,19.45635223388672,17.755577087402344,37.21364451436005
T1/test/1,T1,13,20.720762252807617,11.321650505065918,20.84209632873535,22.40010643005371,20.824169158935547,43.901406892151144
T1/test/10,T1,13,22.307209014892578,13.384000778198242,22.361656188964844,23.908308029174805,22.398778915405273,47.43521063616661
T1/test/11,T1,13,18.360492706298828,8.593158721923828,18.491531372070312,20.01189613342285,18.39874839782715,38.62482014435718
T1/test/12,T1,13,17.61532211303711,7.936208248138428,17.825885772705078,19.45635223388672,17.755577087402344,37.21364451436005
T1/test/13,T1,13,22.546297073364258,13.814482688903809,22.571603775024414,24.162670135498047,22.59907341003418,47.99172311688877
T1/test/14,T1,13,17.61532211303711,7.9362077713012695,17.825885772705078,19.45635223388672,17.755577087402344,37.21364441266942
T1/test/15,T1,13,17.61532211303711,7.936208248138428,17.825885772705078,19.45635223388672,17.755577087402344,37.21364451436005
T1/test/16,T1,13,22.307209014892578,13.384000778198242,22.361656188964844,23.908308029174805,22.398778915405273,47.43521063616661
T1/test/17,T1,13,18.360492706298828,8.593158721923828,18.491531372070312,20.01189613342285,18.398746490478516,38.624819235800814
T1/test/18,T1,13,20.720762252807617,11.321650505065918,20.84209632873535,22.40010643005371,20.824167251586914,43.901405987420475
T1/test/19,T1,13,18.693246841430664,8.501508712768555,18.72918128967285,20.293378829956055,18.699499130249023,39.16615696883805
T1/test/2,T1,13,20.720762252807617,11.321650505065918,20.84209632873535,22.40010643005371,20.824169158935547,43.901406892151144
T1/test/20,T1,13,22.307209014892578,13.384000778198242,22.361656188964844,23.908308029174805,22.398778915405273,47.43521063616661
T1/test/21,T1,13,22.546297073364258,13.814482688903809,22.571603775024414,24.162670135498047,22.59907341003418,47.99172311688877
T1/test/22,T1,13,18.360492706298828,8.593158721923828,18.491531372070312,20.01189613342285,18.39874839782715,38.62482014435718
T1/test/23,T1,13,20.720762252807617,11.321650505065918,20.84209632873535,22.40010643005371,20.824169158935547,43.901406892151144
T1/test/24,T1,13,20.720762252807617,11.321650505065918,20.84209632873535,22.40010643005371,20.824169158935547,43.901406892151144
T1/test/25,T1,13,18.69324493408203,8.501508712768555,18.72918128967285,20.293378829956055,18.699499130249023,39.16615605849759
T1/test/26,T1,13,22.307207107543945,13.384000778198242,22.361656188964844,23.908308029174805,22.398778915405273,47.43520973920373
T1/test/27,T1,13,17.61532211303711,7.936208248138428,17.825885772705078,19.45635223388672,17.755577087402344,37.21364451436005
T1/test/28,T1,13,17.61532211303711,7.936208248138428,17.825885772705078,19.45635223388672,17.755577087402344,37.21364451436005
T1/test/29,T1,13,22.546297073364258,13.814482688903809,22.571603775024414,24.162670135498047,22.59907341003418,47.99172311688877
T1/test/3,T1,13,18.693246841430664,8.501508712768555,18.72918128967285,20.293378829956055,18.699499130249023,39.16615696883805
T1/test/4,T1,13,22.307209014892578,13.384000778198242,22.361656188964844,23.908308029174805,22.398778915405273,47.43521063616661
T1/test/5,T1,13,17.61532211303711,7.936208248138428,17.825885772705078,19.45635223388672,17.755577087402344,37.21364451436005
T1/test/6,T1,13,17.61532211303711,7.9362077713012695,17.825885772705078,19.45635223388672,17.755577087402344,37.21364441266942
T1/test/7,T1,13,20.720762252807617,11.321650505065918,20.84209632873535,22.40010643005371,20.824169158935547,43.901406892151144
T1/test/8,T1,13,22.54629898071289,13.814482688903809,22.571603775024414,24.16266632080078,22.59907341003418,47.99172209234514
T1/test/9,T1,13,18.360492706298828,8.593158721923828,18.491531372070312,20.01189613342285,18.398746490478516,38.624819235800814
T2/test/0,T2,13,19.520097732543945,9.881922721862793,19.640222549438477,21.215673446655273,19.588077545166016,41.20949569784806
T2/test/1,T2,13,22.68303108215332,13.96144962310791,22.762802124023438,24.32293128967285,22.75661849975586,48.34310506427506
T2/test/10,T2,13,21.405746459960938,12.31969928741455,21.54262924194336,23.021047592163086,21.437423706054688,45.42683803755044
T2/test/11,T2,13,19.827144622802734,10.677422523498535,20.09794807434082,21.626787185668945,20.08125114440918,42.21403918054749
T2/test/12,T2,13,19.520097732543945,9.881922721862793,19.640222549438477,21.215673446655273,19.588077545166016,41.20949569784806
T2/test/13,T2,13,20.811355590820312,11.774123191833496,20.967777252197266,22.508237838745117,20.953433990478516,44.238640891879335
T2/test/14,T2,13,19.520097732543945,9.88192367553711,19.640222549438477,21.215673446655273,19.588077545166016,41.209495926536526
T2/test/15,T2,13,19.520097732543945,9.881922721862793,19.640222549438477,21.215673446655273,19.588077545166016,41.20949569784806
T2/test/16,T2,13,21.405746459960938,12.31969928741455,21.54262924194336,23.021047592163086,21.437423706054688,45.42683803755044
T2/test/17,T2,13,19.827144622802734,10.677423477172852,20.09794807434082,21.626787185668945,20.08125114440918,42.21403942176544
T2/test/18,T2,13,22.68303108215332,13.96144962310791,22.762802124023438,24.32293128967285,22.756620407104492,48.34310596212402
T2/test/19,T2,13,19.68600082397461,9.929758071899414,19.851715087890625,21.39666175842285,19.84791374206543,41.61713745628824
T2/test/2,T2,13,22.68303108215332,13.96144962310791,22.762802124023438,24.32293128967285,22.75661849975586,48.34310506427506
T2/test/20,T2,13,21.405746459960938,12.31969928741455,21.54262924194336,23.021047592163086,21.437423706054688,45.42683803755044
T2/test/21,T2,13,20.811355590820312,11.774123191833496,20.967777252197266,22.508237838745117,20.953433990478516,44.238640891879335
T2/test/22,T2,13,19.827144622802734,10.677422523498535,20.09794807434082,21.626787185668945,20.08125114440918,42.21403918054749
T2/test/23,T2,13,22.68303108215332,13.96144962310791,22.762802124023438,24.32293128967285,22.75661849975586,48.34310506427506
T2/test/24,T2,13,22.68303108215332,13.96144962310791,22.762802124023438,24.32293128967285,22.75661849975586,48.34310506427506
T2/test/25,T2,13,19.68600082397461,9.929758071899414,19.851715087890625,21.396663665771484,19.84791374206543,41.61713843691539
T2/test/26,T2,13,21.405746459960938,12.31969928741455,21.54262924194336,23.021047592163086,21.437423706054688,45.42683803755044
