conversation_id,scenario,layer,entropy_mean,entropy_std,baseline
T1/test/7,T1,7,1.6753955,0.0,attention_entropy
T1/test/7,T1,8,1.4822335,0.0,attention_entropy
T1/test/7,T1,9,1.5903612,0.0,attention_entropy
T1/test/7,T1,10,1.5425929,0.0,attention_entropy
T1/test/7,T1,11,1.3380748,0.0,attention_entropy
T1/test/8,T1,0,0.26572427,0.0,attention_entropy
T1/test/8,T1,1,0.45613456,0.0,attention_entropy
T1/test/8,T1,2,0.5073808,0.0,attention_entropy
T1/test/8,T1,3,0.8165226,0.0,attention_entropy
T1/test/8,T1,4,0.89385206,0.0,attention_entropy
T1/test/8,T1,5,1.2256109,0.0,attention_entropy
T1/test/8,T1,6,1.1121256,0.0,attention_entropy
T1/test/8,T1,7,1.2964844,0.0,attention_entropy
T1/test/8,T1,8,1.1514004,0.0,attention_entropy
T1/test/8,T1,9,1.234039,0.0,attention_entropy
T1/test/8,T1,10,1.1732973,0.0,attention_entropy
T1/test/8,T1,11,1.0562661,0.0,attention_entropy
T1/test/9,T1,0,0.40105304,0.0,attention_entropy
T1/test/9,T1,1,0.57817847,0.0,attention_entropy
T1/test/9,T1,2,0.5115228,0.0,attention_entropy
T1/test/9,T1,3,0.90649813,0.0,attention_entropy
T1/test/9,T1,4,0.99167114,0.0,attention_entropy
T1/test/9,T1,5,1.3939953,0.0,attention_entropy
T1/test/9,T1,6,1.279649,0.0,attention_entropy
T1/test/9,T1,7,1.4775071,0.0,attention_entropy
T1/test/9,T1,8,1.3054042,0.0,attention_entropy
T1/test/9,T1,9,1.4506029,0.0,attention_entropy
T1/test/9,T1,10,1.4332788,0.0,attention_entropy
